heb_token,eng_word,num,gen
עץ,ʕec,sg,ms
סנדלר,sandlār,sg,ms
דודי,dodī,sg,ms
עיתון,ʕitōn,sg,ms
ספר,sapār,sg,ms
שערות,ṣaʕarōt,pl,fm
נגר,nagār,sg,ms
קפה,qafē,sg,ms
קצף,qēcef,sg,ms
לחיים,lexayāyim,pl,fm
גילוח,gilūax,sg,ms
שמי,šmi,sg,ms
קול,qol,sg,ms
חמור,xamōr,sg,ms
אמת,ʔemēt,sg,fm
פיל,pil,sg,ms
חיות,xayōt,pl,fm
דואר,dōʔar,sg,ms
מכתב,miḳtāv,sg,ms
בול,bul,sg,ms
סל,sal,sg,ms
פעוטון,peʕuṭōn,sg,ms
ביתשימוש,beytšimūš,sg,ms
בוקר,bōqer,sg,ms
בריאות,briʔūt,sg,fm
כרוב,kruv,sg,ms
צנונית,cnonīt,sg,fm
נקודות,nequdōt,pl,fm
עמק,ʕēmeq,sg,ms
ציפורן,cipōren,sg,fm
עוגה,ʕugā,sg,fm
קפיץ,qfic,sg,ms
תודה,todā,sg,fm
לחיצת,lexicāt,sg,fm
צעצוע,caʕacūaʕ,sg,ms
קופה,qofā,sg,fm
כבשה,kivṣā,sg,fm
היפופוטם,hipopoṭām,sg,ms
צוהוריים,cohorāyim,pl,ms
ברבורים,barburīm,pl,ms
ציפור,cipōr,sg,ms
דג,dag,sg,ms
אש,ʔeš,sg,fm
מכביאש,meḳabēyʔeš,pl,ms
ענן,ʕanān,sg,ms
פרפרים,parparīm,pl,ms
סולם,sulām,sg,ms
גלים,galīm,pl,ms
דגים,dagīm,pl,ms
כיסים,kisīm,pl,ms
שדיים,šadāyim,pl,ms
זהירות,zehirūt,sg,fm
כביסה,kvisā,sg,fm
שינה,šeynā,sg,fm
צד,cad,sg,ms
בשר,baṣār,sg,ms
סנדלים,sandalīm,pl,ms
שרוך,ṣroḳ,sg,ms
מחרוזת,maxrōzet,sg,fm
אפרוח,ʔefrōax,sg,ms
אוכל,ʔōḳel,sg,ms
גרגרים,gargerīm,pl,ms
כורסה,kursā,sg,fm
ספוג,sfog,sg,ms
כף,kaf,sg,fm
גבינש,gvināš,sg,ms
ארוחתצוהוריים,ʔaruxātcohorāyim,sg,fm
אפונה,ʔafunā,sg,fm
פטל,pēṭel,sg,ms
מעדן,maʕadān,sg,ms
תפוז,tapūz,sg,ms
פודין,pūding,sg,ms
חתולה,xatulā,sg,fm
עלי,ʕalī,sg,ms
טיטול,ṭiṭūl,sg,ms
פרצופים,parcufīm,pl,ms
לחות,laxūt,sg,fm
פר,par,sg,ms
טוסיק,ṭūsiq,sg,ms
טרנזסטור,ṭranzīsṭor,sg,ms
טוש,ṭuš,sg,ms
מקלחת,miqlāxat,sg,fm
אגס,ʔagās,sg,ms
את,ʔagasīm,pl,ms
כיור,kiyōr,sg,ms
סבון,sabōn,sg,ms
פני,pney,pl,ms
עדשה,ʕadašā,sg,fm
ענבל,ʕinbāl,sg,ms
חמדתי,xemdatī,sg,fm
קלח,qēlax,sg,ms
כלי,kli,sg,ms
חיפושית,xipušīt,sg,fm
שחורים,šxorīm,pl,ms
ביצים,beycīm,pl,fm
חרק,xarāq,sg,ms
גולם,gōlem,sg,ms
מספר,mispār,sg,ms
פרח,pērax,sg,ms
כפתורים,kaftorīm,pl,ms
שום,šum,sg,ms
פנים,panīm,pl,ms
תינוקות,tinoqōt,pl,
בשול,bišūl,sg,ms
עגבניות,ʕagvaniyōt,pl,fm
עוגיות,ʕugiyōt,pl,fm
זיתים,zeytīm,pl,ms
ענב,ʕanāv,sg,ms
הרים,harīm,pl,ms
גבעות,gvaʕōt,pl,fm
עלה,ʕalē,sg,ms
חופן,xōfen,sg,ms
חמאתבוטנים,xemʔātboṭnīm,,fm
שבלולים,šablulīm,pl,ms
גז,gaz,sg,ms
פרוש,perūš,sg,ms
פרושים,perušīm,pl,ms
פריחה,prixā,sg,fm
בעיטה,beʕiṭā,sg,fm
חביתה,xavitā,sg,fm
כינור,kinōr,sg,ms
מברשת,mivrēšet,sg,fm
דף,daf,sg,ms
אוזן,ʔōzen,sg,fm
אמצע,ʔēmcaʕ,sg,ms
שקיקי,ṣaqiqēy,pl,ms
תריסים,trisīm,pl,ms
מתנות,matanōt,pl,fm
עיזה,ʕizā,sg,fm
שיער,ṣeyʕār,sg,ms
חליל,xalīl,sg,ms
חיתול,xitūl,sg,ms
מכינה,meḳinā,sg,fm
ריקוד,riqūd,sg,ms
כוויה,kwiyā,sg,fm
במקום,ʔaruxātʕēṣer,sg,fm
שעתיים,šaʕatāyim,,fm
סלק,sēleq,sg,ms
פתיתים,ptitīm,pl,ms
אטריות,ʔiṭriyōt,pl,fm
ננה,nāna,sg,fm
אפשרות,ʔefšarūt,sg,fm
תרד,tēred,sg,ms
צבעי,civʕēy,pl,ms
גברת,gevēret,sg,fm
בנאדם,benʔadām,sg,ms
סוכה,sukā,sg,fm
סוכתי,sukatī,sg,fm
פינתחי,pinātxay,sg,fm
נרותשבת,nerōtšabāt,pl,fm
הודעה,hodaʕā,sg,fm
ציבור,cibūr,sg,ms
זה,xacīl,sg,ms
סוסה,susā,sg,fm
חציר,xacīr,sg,ms
ניקיון,niqayōn,sg,ms
עוגת,ʕugāt,sg,fm
גדי,gdi,sg,ms
כנפיים,knafāyim,pl,fm
תלתן,tiltān,sg,ms
חמורים,xamorīm,pl,ms
ירק,yēreq,sg,ms
גנן,ganān,sg,ms
מיני,šeʔeriyōt,pl,fm
דגלי,diglēy,pl,ms
תבה,tevā,sg,fm
ענפי,ʕanfēy,pl,ms
זית,zāyit,sg,ms
שועל,šuʕāl,sg,ms
סוסי,susī,sg,ms
כרטיסים,karṭisīm,pl,ms
טיפול,ṭipūl,sg,ms
ימים,yamīm,pl,ms
מרץ,mērec,sg,ms
לגו,lēgo,sg,ms
שלומו,šlomō,sg,ms
מכסים,miḳsīm,pl,ms
שיעורים,šiʕurīm,pl,ms
שבת,šēvet,sg,ms
זנב,zanāv,sg,ms
טיטולים,ṭiṭulīm,pl,ms
תחפושת,taxpōṣet,sg,fm
נוצות,nocōt,pl,fm
קולה,qōla,sg,fm
פרוסת,prusāt,sg,fm
אדים,ʔedīm,pl,ms
לחי,lēxi,sg,fm
אגודל,ʔagudāl,sg,ms
חוטם,xōṭem,sg,ms
דעת,dāʕat,sg,ms
אח,ʔax,sg,ms
נקבה,neqevā,sg,fm
לבנים,levenīm,pl,fm
קופסאות,qufsaʔōt,pl,fm
שקים,ṣaqīm,pl,ms
שמשיה,šimšiyā,sg,fm
ברקים,braqīm,pl,ms
קטלוג,qaṭalōg,sg,ms
פלאיר,plāʔyer,sg,ms
חיל,xayāl,sg,ms
חילים,xayalīm,pl,ms
עוני,ʕōni,sg,ms
אוניות,ʔoniyōt,pl,fm
קרב,qrav,sg,ms
פרושו,perušō,sg,ms
יוונים,yewanīm,pl,ms
שוחט,šoxēṭ,sg,ms
שדים,šedīm,pl,ms
מגירה,megeyrā,sg,fm
שלווה,šalwā,sg,fm
וידאו,wīdeʔo,sg,ms
